timestamp,device,stage_pre_ms,inference_ms,stage_post_ms,total_ms,fps,num_detections
2025-11-07 02:45:59,Laptop,967.62,2709.34,0.37,3677.34,0.27,0
2025-11-07 02:45:59,Laptop,6.77,18.97,0.85,26.59,37.61,0
2025-11-07 02:45:59,Laptop,10.67,29.87,0.38,40.92,24.44,0
2025-11-07 02:45:59,Laptop,6.61,18.52,0.39,25.53,39.17,0
2025-11-07 02:45:59,Laptop,6.54,18.30,0.65,25.49,39.23,0
2025-11-07 02:45:59,Laptop,7.90,22.11,0.00,30.01,33.32,0
2025-11-07 02:45:59,Laptop,6.65,18.62,0.42,25.69,38.92,0
2025-11-07 02:45:59,Laptop,7.48,20.95,0.12,28.55,35.03,0
2025-11-07 02:45:59,Laptop,5.08,14.22,0.00,19.30,51.81,0
2025-11-07 02:45:59,Laptop,7.56,21.18,0.64,29.37,34.04,0
2025-11-07 02:45:59,Laptop,7.15,20.02,0.36,27.53,36.32,0
2025-11-07 02:46:00,Laptop,7.89,22.08,0.39,30.37,32.93,0
2025-11-07 02:46:00,Laptop,8.43,23.60,0.38,32.41,30.86,0
2025-11-07 02:46:00,Laptop,6.90,19.33,0.42,26.66,37.51,0
2025-11-07 02:46:00,Laptop,6.92,19.36,0.20,26.48,37.76,0
2025-11-07 02:46:00,Laptop,6.29,17.61,0.47,24.37,41.04,0
2025-11-07 02:46:00,Laptop,8.15,22.82,0.33,31.30,31.95,0
2025-11-07 02:46:00,Laptop,6.00,16.79,0.00,22.78,43.90,0
2025-11-07 02:46:00,Laptop,5.60,15.68,0.00,21.28,46.99,0
2025-11-07 02:46:00,Laptop,7.30,20.45,0.49,28.24,35.41,0
2025-11-07 02:46:00,Laptop,8.81,24.67,0.47,33.95,29.45,0
2025-11-07 02:46:00,Laptop,13.22,37.00,0.33,50.55,19.78,0
2025-11-07 02:46:00,Laptop,6.84,19.16,0.00,26.01,38.45,0
2025-11-07 02:46:00,Laptop,7.53,21.07,0.00,28.60,34.97,0
2025-11-07 02:46:00,Laptop,8.01,22.43,0.00,30.44,32.85,0
2025-11-07 02:46:00,Laptop,5.80,16.24,0.62,22.65,44.15,0
2025-11-07 02:46:00,Laptop,7.47,20.93,0.47,28.87,34.64,0
2025-11-07 02:46:00,Laptop,5.86,16.42,0.00,22.28,44.87,0
2025-11-07 02:46:01,Laptop,7.47,20.93,0.40,28.80,34.72,0
2025-11-07 02:46:01,Laptop,8.62,24.14,0.11,32.88,30.42,0
2025-11-07 02:46:01,Laptop,7.83,21.91,0.41,30.15,33.16,0
2025-11-07 02:46:01,Laptop,4.88,13.66,1.18,19.72,50.70,0
2025-11-07 02:46:01,Laptop,8.33,23.32,0.28,31.93,31.32,0
2025-11-07 02:46:01,Laptop,5.40,15.11,0.00,20.51,48.76,0
2025-11-07 02:46:01,Laptop,16.81,47.08,0.39,64.28,15.56,0
2025-11-07 02:46:01,Laptop,5.66,15.84,0.39,21.89,45.69,0
2025-11-07 02:46:01,Laptop,6.57,18.38,0.37,25.32,39.50,0
2025-11-07 02:46:01,Laptop,7.96,22.30,0.39,30.65,32.62,0
2025-11-07 02:46:01,Laptop,5.91,16.56,0.00,22.47,44.51,0
2025-11-07 02:46:01,Laptop,7.21,20.20,0.52,27.93,35.80,0
2025-11-07 02:46:01,Laptop,10.76,30.13,0.64,41.52,24.08,0
2025-11-07 02:46:01,Laptop,12.10,33.89,0.10,46.09,21.70,0
2025-11-07 02:46:01,Laptop,9.57,26.79,0.00,36.36,27.50,0
2025-11-07 02:46:01,Laptop,9.34,26.16,0.00,35.50,28.17,0
2025-11-07 02:46:02,Laptop,10.72,30.01,0.39,41.11,24.32,0
2025-11-07 02:46:02,Laptop,10.84,30.36,0.63,41.83,23.91,0
2025-11-07 02:46:02,Laptop,7.38,20.68,0.68,28.74,34.79,0
2025-11-07 02:46:02,Laptop,7.28,20.40,0.44,28.12,35.56,0
2025-11-07 02:46:02,Laptop,7.17,20.06,0.23,27.46,36.41,0
2025-11-07 02:46:02,Laptop,6.86,19.20,0.37,26.44,37.83,0
2025-11-07 02:46:02,Laptop,3.11,8.70,0.99,12.79,78.16,0
2025-11-07 02:46:02,Laptop,8.33,23.32,0.20,31.84,31.40,0
